YEARS,RCP6,RCP4.5,RCP3,RCP8.5
1900,1.187,1.187,1.187,1.187
1910,1.641,1.641,1.641,1.641
1920,1.653,1.653,1.653,1.653
1930,1.949,1.949,1.949,1.949
1940,2.066,2.066,2.066,2.066
1950,2.522,2.522,2.522,2.522
1960,3.769,3.769,3.769,3.769
1970,5.273,5.273,5.273,5.273
1980,6.357,6.357,6.357,6.357
1990,7.463,7.463,7.463,7.463
2000,7.884,7.884,7.884,7.884
2005,9.167,9.167,9.167,9.167
2010,9.389,9.518,9.878,9.969
2020,9.357,10.212,10.260,12.444
2030,9.438,11.170,7.946,14.554
2040,10.840,11.537,5.024,17.432
2050,12.580,11.280,3.387,20.781
2060,14.566,9.585,2.035,24.097
2070,16.477,7.222,0.654,26.374
2080,17.525,4.190,0.117,27.715
2090,14.556,4.220,-0.268,28.531
2100,13.935,4.249,-0.420,28.817